威雅利电子(集团)有限公司,"00854,威雅利 要約股份接納及轉讓表格（新加坡）通函 - [《收購守則》所指的要約公司發出的文件]","00854,威雅利 要約股份接納及轉讓表格（新加坡）通函 - [《收購守則》所指的要約公司發出的文件]",0,低,其他,其他,其他,港主板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0731/2024073101477_c.pdf,2024-07-31 21:04:00,
中信建投证券股份有限公司,"06066,中信建投証券 海外監管公告 - 獨立董事工作制度公告及通告 - [海外監管公告-企業管治相關事宜]","06066,中信建投証券 海外監管公告 - 獨立董事工作制度公告及通告 - [海外監管公告-企業管治相關事宜]",0,低,企业经营,公司治理,规章制度,港主板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0731/2024073101736_c.pdf,2024-07-31 22:34:00,"1,2,3"
威雅利电子(集团)有限公司,"00854,威雅利 購股權的購股權要約接納及註銷表格通函 - [《收購守則》所指的要約公司發出的文件]","00854,威雅利 購股權的購股權要約接納及註銷表格通函 - [《收購守則》所指的要約公司發出的文件]",0,低,其他,其他,其他,港主板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0731/2024073101475_c.pdf,2024-07-31 21:02:00,
集一控股有限公司,"01495,集一控股 公司秘書及授權代表變更公告及通告 - [更換公司秘書 / 更換董事或重要行政職能或職責的變更]","01495,集一控股 公司秘書及授權代表變更公告及通告 - [更換公司秘書 / 更換董事或重要行政職能或職責的變更]",0,低,其他,其他,其他,港主板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0731/2024073101731_c.pdf,2024-07-31 22:32:00,2
中信建投证券股份有限公司,"06066,中信建投証券 董事會薪酬與提名委員會議事規則公告及通告 - [提名委員會的職權範圍]","06066,中信建投証券 董事會薪酬與提名委員會議事規則公告及通告 - [提名委員會的職權範圍]",0,高,企业经营,公司治理,"高管变更,薪酬方案",港主板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0731/2024073101717_c.pdf,2024-07-31 22:25:00,"1,2,3"
中信建投证券股份有限公司,"06066,中信建投証券 董事會薪酬與提名委員會議事規則公告及通告 - [薪酬委員會的職權範圍]","06066,中信建投証券 董事會薪酬與提名委員會議事規則公告及通告 - [薪酬委員會的職權範圍]",0,高,企业经营,公司治理,"高管变更,薪酬方案",港主板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0731/2024073101709_c.pdf,2024-07-31 22:20:00,"1,2,3"
中信建投证券股份有限公司,"06066,中信建投証券 董事會審計委員會議事規則公告及通告 - [審核委員會的職權範圍]","06066,中信建投証券 董事會審計委員會議事規則公告及通告 - [審核委員會的職權範圍]",0,低,其他,其他,其他,港主板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0731/2024073101707_c.pdf,2024-07-31 22:12:00,"1,2,3"
月31,"00871,中國疏浚環保 截至2024年7月31日止之股份發行人的證劵變動月報表月報表","00871,中國疏浚環保 截至2024年7月31日止之股份發行人的證劵變動月報表月報表",0,低,其他,其他,其他,港主板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0731/2024073101705_c.pdf,2024-07-31 22:10:00,4
天彩控股有限公司,"03882,天彩控股 有關出售自動售貨機之須予披露交易公告及通告 - [須予披露的交易]","03882,天彩控股 有關出售自動售貨機之須予披露交易公告及通告 - [須予披露的交易]",-1,低,其他,其他,其他,港主板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0731/2024073101703_c.pdf,2024-07-31 22:10:00,2
招商局置地有限公司,"00978,招商局置地 持續關連交易 - 租賃協議公告及通告 - [持續關連交易]","00978,招商局置地 持續關連交易 - 租賃協議公告及通告 - [持續關連交易]",0,低,其他,其他,其他,港主板,香港交易所,https://www1.hkexnews.hk/listedco/listconews/sehk/2024/0731/2024073101699_c.pdf,2024-07-31 22:08:00,2
